model,raw_precision,raw_recall,raw_f1,gp_precision,gp_recall,gp_f1
baseline_12m_yoy,0.5546533416614616,0.5498452012383901,0.5522388059701492,0.5104789057385866,0.3508003226247145,0.4158376492290611
rf_3m_only,0.5181010928961749,0.9393188854489164,0.6678406339423288,0.4636702865566851,0.9575283439154998,0.6247929488391627
rf_full,0.5373614587057561,0.9306501547987616,0.6813236627379873,0.4823459785125832,0.8933235786016795,0.6264455492536569
