band,account_count,actual_declines,actual_decline_rate,total_core_gp,total_tracking_gp,mean_severity_among_decliners,gp_share,risk_band_midpoint
20-30%,110.0,33.0,0.3,1920238.4280790098,1694605.9731634897,-0.42735885330309187,0.05042769193283701,0.25
30-40%,571.0,193.0,0.3380035026269702,10977752.90449054,9927545.12678183,-0.439746849504248,0.28828854453051184,0.35000000000000003
40-50%,913.0,391.0,0.42825848849945236,14246091.99688015,12956904.077312749,-0.46141745536937556,0.3741189260461816,0.45
50-60%,726.0,416.0,0.5730027548209367,6223239.4604647895,5930054.680791779,-0.5120060631478964,0.1634294979975688,0.55
60-70%,621.0,401.0,0.6457326892109501,3512635.10063281,3368092.91459483,-0.6188941756379805,0.09224587849977814,0.6500000000000001
70-80%,228.0,176.0,0.7719298245614035,1183411.22776278,1123018.4166794298,-0.6862126882218265,0.031077753653322073,0.75
80-90%,5.0,5.0,1.0,15677.422953639998,15677.422953639998,-0.7621134440451007,0.0004117073398004181,0.8500000000000001
