model,algo,threshold,gp_precision,gp_recall,gp_f1,accuracy,precision,recall,f1,auc_roc,gp_auc_roc
fallback_rf,rf,0.34,0.2899,0.7734,0.4217,0.4825,0.4609,0.9219,0.6146,0.6609,0.4525
fallback_xgb,xgb,0.2,0.3391,0.999,0.5063,0.4895,0.4667,0.9844,0.6332,0.6406,0.7383
